Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25019,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",Simon Winchester,"Winchester, Simon",,"=""0060839783""","=""9780060839789""",0,Harper Perennial,Paperback,242,2005,1998,,2024/07/01,to-read,to-read (#42),to-read,,,,0,0
58999261,Time Shelter,Georgi Gospodinov,"Gospodinov, Georgi",Angela Rodel,"=""1324090952""","=""9781324090953""",5.0,Liveright,Hardcover,304,2022,2020,2024/06/23,2024/06/12,,,read,"_Time Shelter_<br/><br/>""It's simple. When you have no future, you vote for the past.""<br/><br/>Bulgarian author Georgi Gospodinov's ""Time Shelter,"" translated to English by Angela Rodel, portrays a geriatric psychiatrist named Gaustine who treats dementia patients using ‘clinics of the past’ recreating detailed historical settings. This concept soon expands to influence European politics. Europe decides to go back to a past where they believe they had the best times.<br/><br/>The novel develops this into a Brexit model where each country decides to which decade from the 20th century they would like to return. This is the best part in the book, as the narrator walks through the choices in each country. <br/><br/>It’s a clever and powerful reflection of our political present, particularly how nostalgia is wielded to push specific agendas.<br/><br/>""The aging chose the years of their youth, yet the young, who were not even born then, would have to live in those years. There was a certain injustice in that - choosing the time the next generation would live in. As happens in all elections, actually.""<br/><br/>The novel prioritizes ideas over characters, plot, or setting, occasionally meandering chaotically. Despite this, I found it enjoyable. What's noteworthy is its non-hypothetical nature; we've all heard political calls to return to a glorified past we didn't experience firsthand.",,,1,0
42626032,"A Stranger Truth: Lessons in Love, Leadership and Courage from India's Sex Workers",Ashok Alexander,"Alexander, Ashok",,"=""8193876709""","=""9788193876701""",0,Juggernaut,Hardcover,312,2018,,,2024/06/23,to-read,to-read (#41),to-read,,,,0,0
17994,The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Simon Singh,"Singh, Simon",,"=""0385495323""","=""9780385495325""",0,Anchor,Paperback,432,2000,1999,,2024/06/23,to-read,to-read (#40),to-read,,,,0,0
55457159,"In the Shadow of the Swastika: The Relationships Between Indian Radical Nationalism, Italian Fascism and Nazism (Routledge Studies in Modern History)",Marzia Casolari,"Casolari, Marzia",,"=""""","=""""",0,Routledge,Kindle Edition,152,2020,,,2024/06/15,to-read,to-read (#39),to-read,,,,0,0
41021501,Small Great Things,Jodi Picoult,"Picoult, Jodi",,"=""034554496X""","=""9780345544964""",4.0,Ballantine Books,Kindle Edition,510,2016,2016,2024/06/02,2024/05/22,,,read,"_Small Great Things_<br/><br/>“Equality is treating everyone the same. But equity is taking differences into account, so everyone has a chance to succeed.” #jodipicolt <br/><br/>This work by Jodi Picolt is about an African American labor and delivery  Nurse with over 20 years experience being accused of the murder of a baby by its white supremacist father. <br/><br/>The book is a layered and empathetic  exploration of race in the contemporary world. It poses a particular position that the protagonist Ruth finds herself in. And in exploring this unique situation, Jodi Picolt addresses equality and equity and the subtle ways passive racism moves among us. Jodi takes a step further and provides a background for the white suprimacist father, portraying his journey to his ideals. Picolt’s work doesn’t preach, instead it simply pulls up a mirror and forces you to acknowledge the many many privileges that we take for granted.  <br/><br/>The ending was perhaps idyllic, but over all, the book was a good exposition of race in the modern world and gives the reader a lot to reflect upon. <br/><br/>“You say you don’t see color…but that’s all you see. You’re so hyperaware of it, and of trying to look like you aren’t prejudiced, you can’t even understand that when you say race doesn’t matter all I hear is you dismissing what I’ve felt, what I’ve lived, what it’s like to be put down because of the color of my skin.”",,,1,0
6943146,Nine Lives: In Search of the Sacred in Modern India,William Dalrymple,"Dalrymple, William",,"=""1408801531""","=""9781408801536""",5.0,Bloomsbury UK,Paperback,284,2009,2009,2024/05/14,2024/04/23,,,read,"_Nine Lives: In Search of the Sacred in Modern India_<br/><br/>“There is no fire in hell,” he reported. “Everyone who goes there brings their own fire, and their own pain, from this world.” #williamdalrympal <br/><br/>William Dalrymple's 'Nine Lives' begins by introducing  a nomadic Jain Nun in Sravanabelagola who had to watch her friend ritually starve herself to death, then it traverses through the Theyyam dancers of Kerala, Sufism in Sindh, a Tibetian monk who had to take up arms, the bronze idol makers of Swamimalai, Devadasis in Saundatti, Karnataka and Tantrists in Bengal. Nine magically crafted live stories is told by Dalrympal as an observer who lets the characters tell their spellbinding stories. Each of these people are intensely invested in their faiths.  <br/><br/>Rituals and traditions run deep in India and it is an illustration of how much modernisation and the sacred co exist in this complex nation. What is God in their eyes is beautiful, generous and kind. In these lives religion becomes a simple faith and not an institution and that makes all the difference. <br/>",,,1,0
131359,"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,"Christie, Agatha",,"=""""","=""""",4.0,Bantam Books,Paperback,352,1978,1937,2024/05/04,2024/05/01,,,read,,,,1,0
1822547,Zero Minus Ten,Raymond Benson,"Benson, Raymond",,"=""0399142576""","=""9780399142574""",3.0,Putnam Adult,Hardcover,272,1997,1997,2024/04/23,2024/04/23,,,read,,,,1,0
261830,"The God Particle: If the Universe Is the Answer, What Is the Question?",Leon M. Lederman,"Lederman, Leon M.",Dick Teresi,"=""0385312113""","=""9780385312110""",0,Delta,Paperback,448,1994,1993,,2024/04/11,to-read,to-read (#38),to-read,,,,0,0
